sense	context(lemmatized)
0	космохимия геохимия это важный понимание геохимический петрологический
0	обижаться рустика звон бросать земля
0	объяснение даваться чисто романтический решающий роль благоприятный исход
0	номер пятигорск санаторий горячий
0	васюк открывать дом они проходить чистый горница
0	вырываться из под земля бурливый какой нибудь темный угол
0	немой бить отсутствующий
0	таинственный глубина гора бить струиться стекать ручеек
0	дно из белый песок вскипать
0	наш задонье живой калиновый фомин курган
0	задерживаться забывать сдавать
0	юность например мочь быть замыкать
0	сон изливаться наконец свободный проявление забвение другой сторона
0	закрываться макать палец соль
0	дно овраг бъет студеный волшебный живой вода
0	капелька студеный волшебный вода из да лицо дед мороз
0	серебристый ландыш третий о студеный только троекратный анафорический
0	из который энергия буквально бить
0	вода быть носить мисеидский гиперский сердце скрепить подчиняться
0	вашингтон примерно такой сигнал к решение ближневосточный урегулирование находиться
0	они понимать теплый давать начало река широко разливаться
0	недавно творческий мысль бить где человек искусство поиск
0	парень ловко выхватывать у говорить давать деньги
0	сниматься фотокарточка энергия бить его уход раскардаш быть
0	вздрагивать замок как согласно старояпонский
0	возводить новый элитный дом золотой 2 но специалист из москомприрода
0	из талый снег голубой точно из замшелый камень под
0	отмыкаться живой вода родник обходить источник водный шевеление поклоняться
0	все источник вода становиться случайно они играть такой
0	повертывать потолок обмести верея оскабливать под порог полагать
0	сказать вода столичный вне всякий критика
0	от журнал так бить особенно порадовать
0	заканчиваться потасовка энергия бить
0	текст поэтический исток который бить гораздо близкий к подножие
0	нехороший водоем отличаться наличие подводный течение непостоянный уровень вода
0	это кошка превосходный степень бить темперамент выдающийся интеллигентность большой упрямство
0	гражданка максимкина отдышаться вставлять замок квартира но
0	парамон прокопьич никогда брать голый рука всегда через чистый
0	к лагерь возле лагерь бить вскоре разражаться хороший африканский гроза
0	энергия всегда бить немой долгий кабинетный посиделки быть
0	будто сила сам жизнь бить казаться именно настоящий
0	конец последний быть привязывать
0	часовой оплата мы бренчать случайный это быть мелодия поражение
0	дух аудитория бить
0	состав вода бить из горячий вблизи комарик
0	лом велосипедный цепь разводный находить случай
0	пить из тот же солнце так же согревать
0	элегия поэма любовный стихотворение бить из под его перо
0	философский поэзия аллегория к человек его существо
0	цветущий лесной поляна у студеный увидеть спать трава
0	о сугубо минорный представляться трудоемкий
0	савелий вытаскивать у сунуть карман подымать
0	витальный бить из глубина натура
0	шкафчик дырка для эмалированный циферблат хотя
0	другой к тот жизнь который бить христос
0	кентавр который зло бить погружать кровь одежда
0	однажды апостол петр хранитель золотой рая выронить их связка ключ
0	ангел уносить небо но земля
0	мир дух сделать волшебный золотой к радужный врата вечность
0	падать тогда маленький золотой
0	чистый отвечать старушка горничная
0	воск вода клейдомантия коскиномантия решето казах например
0	выпивать глоток вода из священный взять рука лавровый ветвь
0	окно замелькать затрещать это за берег река запластать шалаш
0	из труба который прямо затем мана течь зловонный
0	чуткий брюхо струя донный пронзать тело бодрящий ток ледяной
0	ягода смородина пить вода из пулять камень чайка кружиться
0	как же ты поехать когда то от река у
0	рабочий место куда деваться от его кабинет сейф
0	это происходить довольно быстро прихватывать стакан из который пить
0	бить заповедный синистер сказать девушка
0	редкий зрелище правый берег тот же
0	состав источник известный рахмановский
0	весело перецокивать подковка звенеть связка
0	земля нижегородский реагировать классовый
0	тя чистый дево родися девство рушить
0	изшедый размышлять тогда разрешивый девство чистый иисус
0	один место из черенков шея бить кровь снова волна
0	есенин у тот бить ты скрывать
0	мы взять вода из казанский божий мать сетунь
0	генерал выронить от плевна
0	мочь нуждаться слово который бить из тот вера
0	холодный студеный вода студенец источник родник колодец студеный вода
0	вера константиновна жена гера доставать из карман открывать миша пить затем пить
0	власть слово гореть слово бить живой вода
0	повторять бог то они должный бить из твой душа так
0	притаскиваться то веселие бить бодрый
0	клуб веселие действительно бить бодрый наяривать нота духовой оркестр
0	деньги паспорт водительский право мотоциклист от мотоцикл квартира чистый
0	последний молоко вскипятить
0	жизнь вечный бить наш душа сердце
0	попадаться бить из под земля холодный скоро выходить к
0	чистый озерко образовываться от минеральный напиваться слегка передохнуть раз
0	который погружать мы студеный играть овраг
0	для весь бить деятельность словесный поток место
0	единственность неповторимость из глубина бить
0	мы бить из мы
0	быть молодой энтузиазм бить
0	преломляться чисто фонетически трагический
0	но поздно вечер закрывать дверь наш комната
0	все сообщать бить сразу забывать или
0	лаптев карман плащ вместо дыра быть полтора час выливать
0	дно бить из под земля теплый
0	гнилой озеро бить теплый наш остров становиться
0	недалеко от берег бить теплый озеро место почти
0	ощупывать весь потом потребовать от чемодан открывать
0	где то внизу быть замечательно вкусный вода
0	говорить попить бы вода из целебный
0	выплакиваться напиваться вода из любимый покойный муж вера брониславовна
0	быть прохладный наверно тут быть вода плавать кусочек глина
0	каюта рядом щелчок дверь разин бить
0	свежий сладкий вода кастальский увы дарить вдохновение прискакивать
0	работа всегда хотеться пить сдавать дежурный тетя оля
0	больше нет живой вода нет служение
0	сергей александрович который давать к его высокий чистый
0	командировка алмазный заключенный бить
0	дровозаготовка который вести больница дусканья близ устье река дебина
0	вдоль поперек вода кипеть стлаться поверх вода
0	унывать энергия бить
0	место из глубина море бить
0	татьяна онегин давать петр ильич к опера который злоязычный ларош
0	земля центр мироздание но ко многий земной проблема надо
0	трава неслышно течь большой птица глядеть вода
0	миссисипи вот так же бить
0	навечно лежать там где бить рождаться чистый снежок
0	третичный эпоха вулкан бить горячий они давать 4 тыс м3
0	ручеек где быть полынья или место водопой животное
0	государство урарту вода запирать храниться у мираб
0	из недра земля бить нести алый струя магма
0	двойной щелчок повертывать замок тихий движение легкий шорох
0	дверь тщательно проверять замок ощупывать
0	лесной крепь вытолкнуться из земля
0	покша свивать из чистый студеный лес держать удерживать
0	попить вода сорок вылечиваться девяносто жить
0	связка вертикально вставать ладонь
0	предлагать искупаться но вода такой студеный все выскакивать
0	небывалый для бить душа сохнуть строительный
0	дно водоем виднеться воронкообразный из который пузырек извергаться струя
0	быстрый течение перекат
0	искусственно расширять площадь нерестилище река
0	канал можно сооружать впадать северо западный часть залив
0	уезжать командировка отдавать мы
0	чистый рубашка проверять карман запирать за себя дверь
0	когда мочь бы бить земля бить
0	видеть небесный знамение лесной близ елабуга упасть огненный крест
0	казаться сам бытие бить полотно гойя
0	пить чай вот
0	весь правило театр сцена потеря от чулан так хозяйка
0	знойный знойный день пить из студеный вода погружать
0	называть пахарь титов лог черепанов прочее
0	звонко бить чистый холодный струя у подножие крутой берег
0	газовый плита бить вода большой кастрюля
0	карпатский земля глубинный напоить произведение любящий сын
0	тут же оставлять гришка уезжать назад к ращупкин
0	мысленно восклицать вот радость вода родник
0	лицо как икона бить жизнь событие
0	станок брать другой невыключенный станок дрожмя дрожать
0	жар потный напиваться вода из ночь у заваливать
0	из ржавый жирный светлый студеный
0	пойти к там вода стоять бутылка
0	совершенно чистый встречаться речка озеро земля
0	давать ты царство небесный ты
0	глубина который бить живой
0	до колено неподалеку свежий холодный бить родник
0	бить дно шевелить гладкий поверхность тесно
0	из тот глубина откуда бить жизнь который бить из творческий
0	надо молиться когда молитва бить из наш сердце
0	баня рубить студеный колодец
0	там бить из земля подкаменный трава у ключ
0	разливаться земля ручей
0	дверь побалтывать веревка поглядывать
0	c место выход до 2 c
0	жизнестойкость вера будущее бить город
0	минеральный вода как сложный бородка к
0	там бить дно теплый видеть змеиться трещина след подледный
0	где недавно творческий мысль бить говорить где человек искусство
0	сочинять стих про колодец ключ бить
0	дно бить холодный как лед
0	быстрик ручеек прозрачный студеный из браться воздушный невидимый
0	глубина недра вырываться чистый прозрачный давать начало краснопещерный речка
0	струиться из земля небольшой спокойный
0	терпение у температура вода около 40 c
0	темп энергия какой то бить молодость вот козырь неоднократный
0	дно нестерпимо холодный вода говорить
0	оттого бить холодный
0	прозрачность вода омут значительно высокий чем другой
0	давать наш рука к понимание будущий
0	крохотный ручеек течь повсюду отдельный
0	расширяться земля то находиться бы к разгадка один тайна
0	слово академик вернадский давать к понимание многое происходить
0	дно озеро бить теплый мочь быть это причина
0	как находить вода вода бить дно теплый
0	к умывальник буркнуть бить все голова только
0	потом байдарка двигаться к следующий так выдумщица светка называть то
0	жених невеста неневестный получать к область чистый фантазия
0	чудо возраст юность бить опять мучение
0	общность за бить призыв бахирев сразу прощать вальган
0	быть вставлять слово бить разговор
0	детство песня поцелуй любовь замок объятие
0	тут из под земля бить давать
0	другой берег там тоже бить
0	наш народ хозяин страна бить творческий инициатива жить сыновний забота
0	держать пресный вода из чуть сочиться под куст тамариск
0	понимать ты голос чистый ты говорить потом вернуться
0	начало любой река кроме холодный бить из под земля
0	день как известно начинаться у под название гремячка у исток
0	быстро кружиться дно бить родник
0	да вниз спускаться родник быть наш сколько разный
0	поэзия проза бить чистый
0	дремучий лес его разговор благоухание трава погружаться
0	анна васильевна немой теплый бить вон видеть струйка
0	внизу балка бить от название деревня
0	его левый рука завертывать спина
0	находить надобно где бить сей животворящий
0	недавно творческий мысль бить где человек искусство поиск
0	платок кусок мести гребешок
0	пить когда попадаться речка или есть зеленый трава
0	дун где вода давать хороший
0	оказываться вода выходить обильный из дно впадина образовывать несколько
0	весна когда снег таять но попадаться колодец быть
0	вода говорить тут или колодец дно долина
0	орошать они вода из
0	бесплодный чем пройти местность вода попадаться гораздо
0	селение чиктым близ богатый вода сходиться путь из хамить
0	вода вид небольшой протекать поблизости у подножие возвышенность
0	один место за джигды возле тракт находиться копь
0	поднятие уровень грунтовый вода охранять озеро река от засорение
0	шум бить из под скала заглушать наш
0	прошлый удаваться находить к загадка подход к
0	прилично одевать отпирать дверь малый конюшенный
0	громыхать где то металлический посуда лязгать стоять чисто тюремный гул
0	деревенский земля от земля соседний
0	фокус из который бить самородный
0	находить озеро какой то жирный бить
0	впадать лена вонький минеральный источник холодный молочный белый
0	температура 6 ц возле стоять несколько изба балаган
0	верста от пикет вытекать обильный прекрасный вода почему то считаться
0	поехать запад вверх
0	нищий где буйный радость бить
0	день его кипеть бить жизнь
0	россия быть также тихий светлый также вода лить живой
0	они неистощимый бить энергия говорить они
0	животное вести к вода или показывать путь
0	когда пить из пейренский акрокоринф
0	правда ваш творчество бить но мы художник знать
0	который высокий струя бить посвящать мария федоровна
0	римский папа находиться изображение как символ власть небо
0	шкафчик лекарство быть запирать исчезать
0	хватать ведро позвякивать связка у пояс опрокидывать вода
0	три от сундук широко размахиваться бросать
0	овраг набирать проточный вода возвращаться приниматься
0	место дно бить
0	махор солдатик велеть из студеный тот капитан обливать десять ден
0	ее очарование весь огонь бить жизнь только создавать
0	свое лицо наклоняться чистый почувствовать себя все как
0	бить или мочь бить живой
0	хмель молодость когда беспредметный бить грудь радость бытие
0	п п бажов земля к ремесло камешек
0	камень тот человек земля отворять
0	о то надо заботиться как земля скоро вызволять
0	тут рассказывать быть дескать камень земля до время его никто
0	народ путь казать земля сам рука даваться
0	среди отвесный скала вода несколько собираться пруд который
0	редко небольшой ручей из который орошаться участок поле
0	вскоре появляться вода вид получаться порядочный речка который
0	вода быть заметно солоноватый но корм
0	иметь ежедневно из колодец или окружать небольшой оазис заросль тростник
0	оазис располагать речка питаться вода из гора
0	появление исчезать вода вид
0	дно который появляться вид вода вместе
0	впадина появляться вода вид питать несколько оазис образовывать
0	степь отдельный оазис кяриз северный половина вдоль
0	дверь за семь замок у министр финансы
0	вода родник выметывать глубинный
0	прорва из супесный берег бить лед там смерзаться весь
0	дно тихий дон студеный бить посередь тихий дон
0	приседать корточки зашептать студеный дно текучий плоть горючий
0	берег где из черноярье бить грозный манящий чернеть полынья
0	вскармливать где то вершина лог родниковый вода медлительно течь
0	немой вода как только дно видно
0	отвесный скала среди снег бить
0	вода это так холодный
0	окрестности новь очень много живой вода изобилие
0	их прозрачный слой внутренний именно это позволять
0	ослик нагружать вода взять из высокий гора
0	вода это так холодный
0	огромный количество смерть бить оптимизм звучать гимн
0	сказать федотов вода из горный чудесный вода холодный прозрачный
0	видать рыба идти к чистый икра любить чистота холод
0	верховье река к чистый
0	посол идти к бог за отмыкать они земля пускать
0	его тень пробиваться из под земля
0	ясыга против река кимми киколь
0	это вода из ломить зуб блеск
0	полный бить художественный мысль воочию показывать
0	фуражка бросать радужный вода уезжать домой астрахань
0	земля бить целебный серный горячий
0	ни один мгновение бить течение двести лишний
0	негол стоять под неглый бить
0	у сторож ты то сторож
0	запрокидываться болото болото из они река трубеж
0	увеселение всякий затея бить сильно чем
0	стоять задача полностью использовать бить активность самодеятельность масса
0	хороший мрамор посредине вода как слеза
0	выпытывать иметься скрытый подземный к тайный подземный
0	верховье река непромерзающий до дно где малек пережидать зима
0	весьма кстати поговорка уходить как вода
0	ваш умирать чахнуть бить все равный как теперь зима
0	павильон вроде часовня бить целебный вода висеть паутина
0	обязанный возникновение соляной который образовывать река усолка впадать
0	становиться ездить за вода к они считать дорога
0	вдруг делаться холодно как который бить иногда теплый
0	сильно чисто как прозрачный вода
0	часто видно как бить из крепкий обрывистый цветущий
0	весь река из какой то неведомый сливаться прозрачный холодный вода нестись
