sence	context
0	нравом: на переправе через Волгу  от кандалов выкрал; когда заметили
0	24―32 тыс. долларов под  
0	всём при этом благодаря естественным  озеро остаётся чистым, и в
0	обетованной так и не нашел  к сердцу болельщиков, принявших его
0	  Воду из источников, « стали продавать и в бутылках
0	мгле,  там, где жёлтые бьют   где за тысячу лет не
0	перилам небольшие висячие замочки, а  выкидывать в реку. 
0	в гостинице ― то воду, то  то шлепки… 
0	заключается в особом составе воды  который находится на территории загородной
0	установили британские ученые, вода из  Балморала содержит в себе защитные
0	были густые лесные дубравы, журчали  и били родники, питали своей
0	 Потом кинул  на стол и, схватив бутылку
0	и скалами Старик-камень бьёт  Платонида ― священное место уральских раскольников
0	кум» ― «песок» и «чишмы» ― «родник», « небольшая речка, вытекающая из-под земли
0	и «ыш» или «аши», «ошмос» ― « родник»; то есть «поныш» ― «конец
0	набережной над Орликом, он зашвырнул  от квартиры в круговерть реки
0	упражнения.   Энергия била из него   Удерживать его в спальне становилось
0	 Здесь  бьет, и озеро не зарастет
0	глаза старца, чистые, словно родниковый  
0	после каждого использования продевать в  веревочку и на веревочке опускать
0	построена в линейно развивающемся логическом  она требует многоходового «челночно-возвратного
0	в сторону, чтобы увидеть бьющие  трансценденции, и только слегка ослабляет
0	из некоего созвездия данных бьет  имманентный смысл «(там же, 558
0	не знали ни алгоритма, ни  
0	берет чистую, словно из шварцвальдского  игнорируя «язык интеллектуальных толков», то
0	ей, чтоб не била, что  и вправду нет, не оставил
0	Пятачок заасфальтированной земли перед автостанцией,  к воюющему городу, стратегический плацдарм
0	Кривой Рог, из села Чистый  2) формой множественного числа ― из города
0	ее не хватит, чтобы опустить  до земли с пятого этажа
0	Забил рядом, как чистый лесной   Фонтан животворящей влаги. 
0	 Открыл своим  дверь, выключил конфорки, вылил из
0	дыхание…  Из Каспарова энергия била   Затем Гарри Кимович вышел в
0	является источником, из которого бьет  жизненная сила. 
0	нас, как и везде, бьёт  
0	битых будильников и новеньких гаечных  пачкающих подстеленные газеты янтарным маслом
0	в глаза, а еще ткнуть  авторучкой, зонтиком, на крайний случай
0	в каком-то углу закрытое на  старое пианино. 
0	с поддержкой SSL при длине  не менее 128 бит, прикладное
0	пара ― это бьют подземные горячие  
0	 Адреналин будет бить  когда скорость твоей торпеды перевалит
0	 Смотрю на этот  и земля уходит из-под ног
0	укрылась курточкой, а из кармана  на пол упали! 
0	 Над бившим из земли  устроен грот, к которому вела
0	пусть она и не бьет  как в Центре, но уж
0	 Кто отвечает?  Кто повернул  и перекрыл воду?»  ― с трудом
0	и царство мертвых, Гия дал  к ясному построению своего сочинения
0	лабиринта, чтобы создать и запомнить  именно для определенного ящичка. 
0	чуть  расширенной и углубленной горловины  выложено было камнями да кафельной
0	не иссякают водопады, подземные реки,  подземные водоемы, питающие их? 
0	 Сидя у  Иертр опускал в воду руки
0	вытекающих из-под земли, есть название ― « 
0	  Когда студеный  играет по оврагу / И, погружая
0	в знак благодарности за освобождение « города» земли Русской от французов
0	  2. Небольшой фонтанчик, бьющий  окруженный достаточно крупными, гладкими камнями
0	легкой ледяной коркой пульсировал незамерзший  
0	красивая молодая женщина открывает дверь  и зажмуривается от потока света
0	в этих структурах буквально била  
0	от которых энергия буквально бьет  
0	пацану, из которого энергия бьет  
0	чистой прозрачной водой, с множеством  заводей, деревянных мостиков. 
0	Гейне об острове, где бьет  вечной юности. 
0	Мой длинный зонт, в скрипичных  привезенный из хороводного венского города
0	постоял, глядя, как вода белым  бьет в широкой ванне, потом
0	симметричной шифрации DES с использованием  длиной 128 бит. 
0	тесном пруду тогда бил холодный  и однажды там утонул несчастный
0	 Маленький фонтан, бьющий  из камней, оживляет этот уголок
0	на дне котлована забурлило несколько  
0	в королевской семье просто бьет  
0	той силе увлеченности, которая била  из Андрея Курбатова. 
0	тоже неизменно дивились его бьющей  просто невероятной энергии. 
0	слетающего, почему-то напоминающего то басовый  то скрипичный, то какой-то штрих
0	подлинною любовью, залитым бьющим горячим  кипятком, лучше всего ― вскипяченной родниковой
0	а затем вынула из сумочки  и отдала нам, сказав, что
0	телевизионная публицистическая мысль бьет сейчас  и издатели не могут на
0	замшелого колодца.   Как били желтые    Как разбегалися лучи 
0	нерастраченной жизненной силы.  В ней  бьет творческая энергия.  Даже попреки
0	Рождественской звезде», которую я считала  ко всему роману, я писала
0	на северных реках еще била  была свежа в нем, и
0	коридору, а вы со связкой  не видя меня, открыли дверь
0	в себе, не ведая ни  к подземным источникам, ни освежающего
0	 Но если Новая Земля ―  к восточной Арктике ― неизменно притягивала
0	  к спасению Земли, как выясняется
0	из-под ужасающей маски которой бьет  чистой воды» (15). 
0	сплоткам (деревянным желобам) подавалась из  в распадке вода, размывая ползущую
0	и точно воды из светлого  напьешься. 
0	что ночная обмолвка вовсе не  к каким-то скрытым ее обстоятельствам
0	шага которого должен бить артезианский  живительных соков для России, это
0	Подробнее (но в том же  рассматривалась концепция единой нации Цзян
0	 Чем интенсивнее бьет  общественной жизни, тем чаще и
0	течение жизни: она буквально бьет  на страницах произведения, постоянно вторгаясь
0	Образ, отсылающий нас к Кастальскому  точен и удачен ― за исключением
0	стоят под холодными ручьями и  в холодной воде больше кислорода
0	тайного дома, где били неиссякающие  
0	Дева Мария по воду ходила,  обронила. 
0	городе бьет больше пяти десятков  однако специалисты постоянно контролируют только
0	пор доподлинно неизвестно, откуда городские  снабжаются водой, а кроме того
0	 Побывали на минеральных  купались в теплой бодрящей воде
0	незамерзающий пруд ― возможно, там бьет  
0	закатом,  Прозрачным потоком и чистым  
0	сидел в костюмерной, запершись на  пил сам с собою, но
0	ткать чужеземке,  Воду носить от  Мессеиса или Гипперея,  С ропотом
0	предмета нет, но фантазия бьет  
0	  матово поблескивали на дне сквозь
0	сейчас амбиции молодой «конюшни» бьют  
0	к ее верховьям, к неведомому  бьющему в отдаленном лесном овраге
0	из нас обретет по гаечному  
0	Воистину все в чисто русском  непобедимый на поле брани богатырь
0	Такие названия, как «Живые родники», «… истоки», «…корни», «…реки», «…протоки», «Восход
0	родниковые воды (здесь бьет 13  
0	перегородку, потому что била связкой  и очечником из пластмассы. 
0	аналитик, проницательный человек, из которого  били идеи. 
0	теплится, а просто-таки бьет  
0	искусственные русла, посреди песков забили  быстро образуя зеленеющие оазисы, а
0	и не открывалась дверь машины ( остался внутри) и еще что-то
0	которая вышла у подножия гор  
0	  ― Что ж, самые светлые  тоже бьют из-под диких камней
0	и напирающая, увеличивающаяся в числе,  бьющая из дыры проезда в
0	космохимии и геохимии ― это важнейший  в понимании геохимической и петрологической
0	обиделся Рустик, со звоном бросая  на землю. 
0	объяснение дается в чисто романтическом  решающая роль в благоприятном исходе
0	номер в пятигорском санатории «Горячий  
0	  Васюк открыл дом своими  они прошли в чистую горницу
0	вырваться из-под земли уже бурливым  в каком-нибудь темном углу. 
0	нем била отсутствующим во мне  
0	в таинственной глубине гор, била  струилась и стекала ручейками по
0	дне, из белого песка, вскипают  
0	еще в нашем Задонье живые  на Калиновом, на Фомин-кургане
0	задерживаться и не забыть сдать  
0	  юности, например, может быть замкнут
0	сне,  Излиться наконец свободным проявленьем…  забвения, с другой стороны, лишь
0	 Закрывшись на  макал палец в соль и
0	дне этого оврага бъет студеный  с волшебной живой водой. 
0	капельку студёной волшебной воды из  да на лицо Деду Морозу
0	серебристом ландыше, третья ― о студеном  и только после троекратного анафорического
0	из которых энергия буквально бьет  
0	Воду будешь носить с Мисеидских  и Гиперских,  Сердце скрепя, подчиняясь
0	в Вашингтон примерно такие сигналы:  к решению ближневосточного урегулирования находится
0	они поняли, что этот теплый  дает начало реке, широко разлившейся
0	еще недавно творческая мысль била  где люди искусства в поисках
0	Парень ловко выхватил у него  и говорит: “Давайте деньги, а
0	сниматься «на фотокарточку».  Энергия била   После его ухода раскардаш был
0	  Вздрогнул  в замке, как, согласно старояпонской
0	возводить новые элитные дома («Золотые  2»), но специалисты из Москомприроды
0	из талых снегов и голубых  точнее, из замшелых камней, под
0	Отмыкается живая вода, родники и   Обходим источники водного шевеленья, поклоняемся
0	по всему, источником воды стали  не случайно они играют такую
0	поверни, потолок обмети, вереи оскобли,  под порог положи… 
0	не сказал, что вода столичных  вне всякой критики. 
0	от журнала «так и бьют  и что особенно его порадовали
0	что закончившейся потасовки, энергия бьет  
0	текста, в поэтических истоках которого ―  бьющие гораздо ближе к подножиям
0	Нехорошие водоемы отличаются наличием подводных  и течений, непостоянному уровню воды
0	это кошки превосходных степеней: бьющий  темперамент, выдающаяся интеллигентность, большое упрямство
0	гражданка Максимкина отдышалась и вставила  в замок своей квартиры, но
0	Парамон Прокопьич никогда не брал  голой рукой, всегда через чистую
0	к лагерю.   Возле лагеря бил    Вскоре разразилась хорошая африканская гроза
0	Энергия всегда била в нем  и долгие кабинетные посиделки были
0	будто сила самой жизни, бьющей  казался ему именно настоящим. 
0	концу этой последней был привязан  
0	часовой оплатой, мы бренчали случайными  и это была мелодия поражения
0	ему по духу аудитории, била  
0	состав воды, бьющей из горячих  вблизи «Комарика». 
0	ломами, велосипедными цепями и разводными  найденными на этот случай в
0	Он пил из тех же  солнце так же согревало в
0	элегии, поэмы, любовные стихотворения били  из-под его пера. 
0	философской поэзии не аллегория, а  к человеку в его существе
0	цветущей лесной поляне у студеного  он увидел спящую в траве
0	о ней в сугубо минорном  представляется трудоемким. 
0	  Савелий вытащил у него  сунул в карман, поднял с
0	 (Витальные  бьющие из самой глубины натуры
0	шкафчике, с двумя дырками для  на эмалированном циферблате; и хотя
0	других к той жизни, которая  била во Христе. 
0	Кентавр, в котором зло било  погрузил в свою кровь одежду
0	Однажды апостол Петр, хранитель золотых  рая, выронил их.  Связка ключей
0	 Ангел унес  на небо, но на земле
0	мира духов, сделал волшебный золотой  к радужным вратам вечности и
0	него падают тогда маленькие золотые  
0	Чистая, ― отвечает ей старушка с  горничная. 
0	воском на воде; клейдомантия ― с  коскиномантия ― с решетом… Казахам, например
0	выпила глоток воды из священного  взяла в руки лавровую ветвь
0	окне, замелькало, затрещало ― это за  на берегу реки запластал шалаш
0	из трубы которой прямо в  затем в Ману текла зловонная
0	чутким брюхом на струю донных  пронзающих тело бодрящим током ледяной
0	ягоды смородины, пил воду из  пулял камнями в чаек, кружащихся
0	Как же ты поедешь, когда  то от реки у меня
0	рабочем месте и куда делись  от его кабинета и сейфа
0	это произошло довольно быстро, прихватил  и стакан, из которого пил
0	 Здесь бьет заповедный  Синистер, ― сказала девушка. 
0	  Редкое зрелище ―  на правом берегу той же
0	по составу источникам известных Рахмановских  
0	весело перецокивали подковки и звенели  на связках. 
0	Земля нижегородская» реагировала в классовом  
0	Тя, чистая Дево и родися  девства не рушив, и на
0	изшедый, ― размышляет он тогда, ― и  не разрешивый девства, Чистая, Иисус
0	одном месте, из черенков шей  била кровь, и снова волны
0	Есенина.  У того он бил   В тебе он скрыт. 
0	 Мы взяли воды из  Казанской Божией матери на Сетуни
0	генерала, пока он не выронит  от Плевны. 
0	могут нуждаться в слове, которое  бьет из той самой веры
0	холодной, студеной воде: студенец ― «источник (родник,  колодец) со студеной водой». 
0	 [Вера Константиновна, жен]   Гера достает из кармана  открывает, Миша пьет, затем пьет
0	властью, слово горящее, слово, бьющее  живой воды. 
0	повторять Богу, то они должны  бить из твоей души, так
0	притащились, то веселье било бодрым  
0	клубе веселье действительно било бодрым  наяривал без нот духовой оркестр
0	деньгами, паспорт, водительские права мотоциклиста,  от мотоцикла и квартиры, чистый
0	последний с молоком, вскипяти его  
0	жизни  вечной, бьющей  в наших душах, в сердцах
0	попадались бьющие из-под земли холодные  и скоро он вышел к
0	чистое озерко, образовавшееся от минеральных  напились и слегка передохнули, раза
0	в который погружает нас «студеный  играя по оврагу…» 
0	для меня во всей этой « бьющей» деятельности словесного потока ― места
0	единственность, неповторимость, из глубины бьющий  
0	нас, и бьющей из нас  
0	был, молодой, а энтузиазм бил  
0	преломлялась, чисто фонетически, в трагическом  
0	но поздно вечером, закрывая на  дверь нашей комнаты. 
0	всем сообщить, била в ней  и она сразу забыла или
0	Лаптев в кармане плаща вместо  дыру, будет полтора часа, вылив
0	дне бьет из-под земли теплый  
0	в Гнилом озере бьют теплые  и наш остров станет еще
0	недалеко от берега бьют теплые  озеро в этом месте почти
0	ощупала ее всю, потом потребовала  от чемодана, открыла его и
0	 Где-то внизу есть  с замечательно вкусной водой. 
0	говорил: «Попить бы воды из  она целебная…» 
0	Выплакавшись и напившись воды из  любимого покойным мужем, Вера Брониславовна
0	была прохладная, ― наверно, тут был  в воде плавали кусочки глины
0	каюты рядом, и каждый щелчок  в дверях Разина бьет по
0	свежей и сладкой водой — Кастальскому  увы, не дарившему вдохновения, — прискакал
0	работы всегда хочется пить, ― сдаем  дежурной тете Оле. 
0	 Здесь больше нет  живой воды, нет служения, и
0	Сергей Александрович и которые дают  к его высокому и чистому
0	 На этой командировке " Алмазный" заключенных не били. 
0	дровозаготовки, которые вела больница на  Дусканья ― близ устья реки Дебин
0	вдоль и поперек, вода кипит  и что стелется поверх воды
0	унывает, энергия бьет в ней  
0	месте из глубины моря били  
0	Татьяна Онегину, дало Петру Ильичу  к опере, которую злоязычный Ларош
0	не земля центр мироздания, но  ко многим земным проблемам надо
0	 В траве неслышно тек  большая птица глядела на воду
0	Миссисипи вот так же била  
0	навечно лежать там, где бьют  и рождается чистая Снежка. 
0	третичную эпоху вулкана, бьют горячие  они дают 4 тыс. м3
0	ручейка, где есть полынья или  место водопоя животных. 
0	государству Урарту, воду запирали на  хранившийся у мираба. 
0	 Из недр земли бьют  несущие алые струи магмы. 
0	двойной щелчок повернутого в замке  тихое движение, легкий шорох и
0	двери, тщательно проверил замок, ощупал  
0	лесных крепях вытолкнулся из земли  
0	Покша, свитая из чистых студеных  леса ее держали ― не удержали
0	 Попила воду сорока  вылечилась, девяносто годов жила. 
0	 Связка  вертикально вставала на ладони в
0	предложил искупаться, но вода в  такая студеная, что все выскакивают
0	и небывалая для него била  а душа сохла в строительной
0	на дне водоема виднелся воронкообразный  из которого пузырьками извергались струи
0	  и быстрое течение на перекатах
0	искусственно расширяя площадь нерестилищ в  и реках. 
0	каналы можно сооружать и на  впадающих в северо-западную часть залива
0	уезжает в командировки, отдает нам  
0	чистую рубашку, проверил в кармане  запер за собой дверь и
0	когда она могла бы бить  и уже на земле бить
0	видели небесные знамения: в лесной  близ Елабуги упал огненный крест
0	Казалось, что само бытие бьет  в полотнах Гойи. 
0	Пей чай без меня, а  вот. 
0	всем правилам театра сцену потери  от чулана, так что хозяйка
0	знойный-знойный день пил из  студеную воду, погрузив в нее
0	названных пахарями: Титов лог, Черепанов  и прочее. 
0	звонко бившему чистой, холодной струей  у подножия крутого берега. 
0	На газовой плите уже била  вода в большой кастрюле, на
0	 Карпатская земля самыми глубинными  напоила произведения своего любящего сына
0	он тут же оставит Гришке  и уедет назад к Ращупкину
0	мысленно воскликнет: «Вот радость: вода,  родник!» 
0	лице, как на иконе, бьет  жизни в каждом событии, в
0	его на станок, беру другой  невыключенный станок дрожмя-дрожит, первый
0	жару потный напился воды из  а ночью у него «завалило
0	из ржавой, жирной, светлые студеные  
0	 Пошел к  там в воде стояла бутылка
0	и совершенно чистой, встречаются в  речках и озерах Земли. 
0	 Я дам тебе  Царства Небесного; и что ты
0	в глубине которой бьет живой  
0	до колен; неподалеку свежим холодным  бил родник. 
0	 Бьющий на дне  шевелит гладкую поверхность, и тесно
0	из той глубины, откуда бьет  жизни, который бьет из творческого
0	надо молиться, когда молитва бьет  из наших сердец. 
0	баня и рубленный на студеном  колодец. 
0	Там бьет из земли подкаменный  и трава у ключа еще
0	  разливается по земле ручьем, и
0	его на дверь и, побалтывая  на веревке поглядывая на свои
0	C, а в местах выхода  до 2°C. 
0	жизнестойкость и веру в будущее,  бьющие в этом городе. 
0	что каждая минеральная вода, ― как  со сложной бородкой, и к
0	там били со дна теплые  видел змеившиеся трещины ― следы подледных
0	где недавно творческая мысль била  говорил он, ― где люди искусства
0	сочинять стихи про колодец и  и что этот ключ бьет
0	дна, бил холодный, как лед,  
0	Быстрик-ручеек.  Прозрачный, студеный ― из  берется.   И в воздушную невидимую
0	глубинах недр, вырываются чистыми прозрачными  дающими начало Краснопещерной речке. 
0	струится из земли небольшой спокойный  
0	и по терпению: у самого  температура воды около 40°C
0	 Темп, энергия, какая-то бьющая  молодость ― вот «козыри» этой неоднократной
0	  ― На дне  нестерпимо холодной воды, ― говорил он
0	оттого, что здесь бьют холодные  
0	прозрачность воды и омутах с  значительно выше, чем в других
0	самым давая в наши руки  к пониманию будущего. 
0	 Крохотными  и ручейками текут повсюду отдельные
0	расширяющуюся Землю, то нашелся бы  к разгадке еще одной тайны
0	Эти слова академика Вернадского дали  к пониманию многого, что происходит
0	со дна озера бьют теплые  может быть в этом причина
0	как найти воду в воде?   бьющие со дна, теплые.  В
0	к умывальнику и буркнул:   ― Бьет  и все по голове.   Только
0	Потом байдарка двигалась к следующему « так выдумщица Светка называла то
0	Жениха, невестой неневестной, она получает  и к области чистой фантазии
0	чудом.  И возраст ― юность бьет   И опять это мучение: не
0	эту общность, за этот бьющий  призыв Бахирев сразу «простил» Вальгану
0	будет вставить, слово в бивший  разговор. 
0	с детства песню: «В поцелуе ―  любви, а замок ― в объятьях
0	  Тут  из-под земли бьет, не дает
0	другим берегом: там тоже бил  
0	нашем народе ― хозяине страны ― бьет  творческая инициатива, живет сыновняя забота
0	я держал пресную воду из  чуть сочившегося под кустом тамариска
0	 Понимаешь ты ― голос!  Чистый  я тебе говорю!   Потом вернулся
0	начале любой реки, кроме холодных  бьющих из-под земли. 
0	день, как известно, начался у  под названием Гремячка, у истоков
0	быстро кружилась ― на дне били  и родники. 
0	да вниз спустишься, родник есть,  по-нашему, и сколько я разной
0	  поэзии и прозы бьет чистой
0	дремучий лес с его разговором  и благоуханием трав, ― погружаясь в
0	Анна Васильевна.   ― В нем теплые  бьют.  Вон видите струйку? 
0	а внизу в балке бьет  от него и название деревни
0	а его левая рука, завёрнутой « на спину. 
0	Найти надобно, где бьют сии  животворящие… 
0	еще недавно творческая мысль била  где люди искусства в поисках
0	платок, кусок мела, гребешок и  
0	пил, когда попадалась речка или  и ел зеленую траву. 
0	дун, где воду дают хорошие  
0	оказалось, что вода выходит обильными  из дна впадины, образуя несколько
0	весной, когда снег тает, но  попадаются, и колодцы есть. 
0	вода, говорят, тут не в  или колодце на дне долины
0	и орошали их водой из  
0	бесплодными, чем пройденная местность с  здесь и вода попадалась гораздо
0	селением Чиктым, близ богатого водой  сходятся два пути из Хами
0	 Вода в виде небольшого  протекала поблизости у подножия возвышенности
0	 В одном месте, за  Джигды возле тракта, находятся копи
0	поднятию уровня грунтовых вод, охранявшие  озера и реки от засорения
0	 Шум  бившего из-под скалы, заглушал наши
0	прошлом году ему удалось найти  к этой загадке ― подход к
0	 Он, «прилично одетый», отпирал  дверь на Малой Конюшенной, а
0	Громыхали где-то металлической посудой, лязгали  стоял чисто тюремный гул, и
0	деревенскую землю от земли соседних  
0	фокус, из которого бьет самородный  
0	находили, по озерам какие-то жирные  бьют. 
0	впадающей в Лену, и Вонькие  минеральный источник с холодной молочно-белой
0	с температурой + 6° Ц. Возле  стояло несколько изб и балаганов
0	версте от пикета, вытекают обильные  с прекрасной водой, почему-то считающиеся
0	  и поехали на запад вверх
0	нищие», где буйная радость бьет  
0	днем в его кипящей, бившей  жизни». 
0	Россия,  Есть также тихий, светлый   Он также воды льет живые
0	 В них неистощимым  бьет энергия и говорят они
0	 Животное ведет его к  воды или показывает ему путь
0	когда он пьет из пейренского  на Акрокоринфе. 
0	 Правда, Ваше творчество бьет  но мы, художники, не знаем
0	с которым высокой струей бил  посвященный Марии Федоровне. 
0	римских пап находится изображение двух  как символ власти на небе
0	шкафчик с лекарствами был заперт,  исчезли. 
0	хватает ведра и, позвякивая связкой  у пояса, опрокидывает воду на
0	 А три  от сундуков, широко размахнувшись, бросил
0	в овраг, набрал в проточном  воды и, возвратившись, принялся с
0	этом месте со дна били  
0	Махоров солдатикам велел из студеного  того капитана обливать: десять ден
0	ее очарования, весь огонь бьющей  жизни, а не только создать
0	свое лицо, наклонившись над чистым  и почувствовал себя всего как
0	били или могли бить живые  
0	хмель молодости, когда беспредметно бьет  в груди радость бытия, едва
0	  П.П. Бажов.   земли   К этому ремеслу ― камешки
